Home Team,Away Team,Winner,Home Win
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Chicago White Sox,Cleveland Guardians,Chicago White Sox,True
St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,True
Athletics,Atlanta Braves,Athletics,True
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
Baltimore Orioles,Miami Marlins,Miami Marlins,False
New York Yankees,Chicago Cubs,Chicago Cubs,False
Cincinnati Reds,Colorado Rockies,Cincinnati Reds,True
Detroit Tigers,Seattle Mariners,Seattle Mariners,False
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Kansas City Royals,New York Mets,New York Mets,False
Houston Astros,Texas Rangers,Houston Astros,True
Minnesota Twins,Pittsburgh Pirates,Minnesota Twins,True
Chicago White Sox,Cleveland Guardians,Cleveland Guardians,False
Milwaukee Brewers,Washington Nationals,Washington Nationals,False
St. Louis Cardinals,Atlanta Braves,St. Louis Cardinals,True
Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels,True
San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,False
Athletics,Toronto Blue Jays,Athletics,True
San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,True
New York Yankees,Chicago Cubs,Chicago Cubs,False
Detroit Tigers,Seattle Mariners,Seattle Mariners,False
Minnesota Twins,Pittsburgh Pirates,Minnesota Twins,True
St. Louis Cardinals,Atlanta Braves,Atlanta Braves,False
San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,True
Baltimore Orioles,Miami Marlins,Baltimore Orioles,True
Cincinnati Reds,Colorado Rockies,Cincinnati Reds,True
Kansas City Royals,New York Mets,New York Mets,False
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Chicago White Sox,Cleveland Guardians,Chicago White Sox,True
Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,True
Houston Astros,Texas Rangers,Houston Astros,True
San Diego Padres,Philadelphia Phillies,San Diego Padres,True
Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels,True
Athletics,Toronto Blue Jays,Toronto Blue Jays,False
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Baltimore Orioles,Miami Marlins,Miami Marlins,False
New York Yankees,Chicago Cubs,New York Yankees,True
Cincinnati Reds,Colorado Rockies,Cincinnati Reds,True
Detroit Tigers,Seattle Mariners,Seattle Mariners,False
Kansas City Royals,New York Mets,New York Mets,False
Houston Astros,Texas Rangers,Texas Rangers,False
Minnesota Twins,Pittsburgh Pirates,Minnesota Twins,True
Chicago White Sox,Cleveland Guardians,Cleveland Guardians,False
Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,True
St. Louis Cardinals,Atlanta Braves,St. Louis Cardinals,True
San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,True
Athletics,Toronto Blue Jays,Athletics,True
Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels,True
San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,False
Chicago Cubs,Boston Red Sox,Boston Red Sox,False
Pittsburgh Pirates,Chicago White Sox,Pittsburgh Pirates,True
Washington Nationals,San Diego Padres,Washington Nationals,True
Philadelphia Phillies,Los Angeles Angels,Philadelphia Phillies,True
Toronto Blue Jays,San Francisco Giants,San Francisco Giants,False
New York Mets,Cincinnati Reds,Cincinnati Reds,False
Cleveland Guardians,Athletics,Cleveland Guardians,True
Miami Marlins,Kansas City Royals,Kansas City Royals,False
Atlanta Braves,New York Yankees,New York Yankees,False
Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,False
Texas Rangers,Detroit Tigers,Texas Rangers,True
Colorado Rockies,Minnesota Twins,Minnesota Twins,False
Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,True
Seattle Mariners,Houston Astros,Seattle Mariners,True
Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,True
Toronto Blue Jays,San Francisco Giants,Toronto Blue Jays,True
New York Mets,Cincinnati Reds,New York Mets,True
Miami Marlins,Kansas City Royals,Kansas City Royals,False
Philadelphia Phillies,Los Angeles Angels,Philadelphia Phillies,True
Pittsburgh Pirates,Chicago White Sox,Pittsburgh Pirates,True
Washington Nationals,San Diego Padres,San Diego Padres,False
Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,False
Texas Rangers,Detroit Tigers,Detroit Tigers,False
Cleveland Guardians,Athletics,Athletics,False
Chicago Cubs,Boston Red Sox,Chicago Cubs,True
Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,True
Atlanta Braves,New York Yankees,New York Yankees,False
Colorado Rockies,Minnesota Twins,Minnesota Twins,False
Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,True
Seattle Mariners,Houston Astros,Seattle Mariners,True
Toronto Blue Jays,San Francisco Giants,Toronto Blue Jays,True
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,True
Washington Nationals,San Diego Padres,San Diego Padres,False
Philadelphia Phillies,Los Angeles Angels,Philadelphia Phillies,True
Pittsburgh Pirates,Chicago White Sox,Chicago White Sox,False
Atlanta Braves,New York Yankees,Atlanta Braves,True
New York Mets,Cincinnati Reds,New York Mets,True
Cleveland Guardians,Athletics,Cleveland Guardians,True
Miami Marlins,Kansas City Royals,Miami Marlins,True
Chicago Cubs,Boston Red Sox,Chicago Cubs,True
Texas Rangers,Detroit Tigers,Texas Rangers,True
Colorado Rockies,Minnesota Twins,Minnesota Twins,False
Seattle Mariners,Houston Astros,Seattle Mariners,True
Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,True
Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,False
Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,True
Pittsburgh Pirates,Detroit Tigers,Detroit Tigers,False
Miami Marlins,San Diego Padres,San Diego Padres,False
Washington Nationals,Cincinnati Reds,Cincinnati Reds,False
Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies,True
Toronto Blue Jays,New York Yankees,New York Yankees,False
New York Mets,Los Angeles Angels,New York Mets,True
Atlanta Braves,San Francisco Giants,Atlanta Braves,True
Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,True
Chicago Cubs,Kansas City Royals,Kansas City Royals,False
Texas Rangers,Athletics,Texas Rangers,True
Colorado Rockies,St. Louis Cardinals,St. Louis Cardinals,False
Arizona Diamondbacks,Houston Astros,Houston Astros,False
Seattle Mariners,Milwaukee Brewers,Seattle Mariners,True
Los Angeles Dodgers,Minnesota Twins,Los Angeles Dodgers,True
Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,True
Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,True
Miami Marlins,San Diego Padres,Miami Marlins,True
Washington Nationals,Cincinnati Reds,Cincinnati Reds,False
Philadelphia Phillies,Boston Red Sox,Boston Red Sox,False
Toronto Blue Jays,New York Yankees,New York Yankees,False
New York Mets,Los Angeles Angels,Los Angeles Angels,False
Atlanta Braves,San Francisco Giants,San Francisco Giants,False
Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,True
Chicago Cubs,Kansas City Royals,Chicago Cubs,True
Texas Rangers,Athletics,Athletics,False
Colorado Rockies,St. Louis Cardinals,Colorado Rockies,True
Arizona Diamondbacks,Houston Astros,Houston Astros,False
Seattle Mariners,Milwaukee Brewers,Seattle Mariners,True
Los Angeles Dodgers,Minnesota Twins,Los Angeles Dodgers,True
Washington Nationals,Cincinnati Reds,Cincinnati Reds,False
Miami Marlins,San Diego Padres,San Diego Padres,False
Atlanta Braves,San Francisco Giants,Atlanta Braves,True
Pittsburgh Pirates,Detroit Tigers,Detroit Tigers,False
New York Mets,Los Angeles Angels,Los Angeles Angels,False
Chicago Cubs,Kansas City Royals,Chicago Cubs,True
Colorado Rockies,St. Louis Cardinals,Colorado Rockies,True
Arizona Diamondbacks,Houston Astros,Arizona Diamondbacks,True
Seattle Mariners,Milwaukee Brewers,Seattle Mariners,True
Los Angeles Dodgers,Minnesota Twins,Los Angeles Dodgers,True
Cleveland Guardians,Baltimore Orioles,Baltimore Orioles,False
Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies,True
Toronto Blue Jays,New York Yankees,New York Yankees,False
Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,True
Texas Rangers,Athletics,Texas Rangers,True
Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,True
Detroit Tigers,Toronto Blue Jays,Detroit Tigers,True
St. Louis Cardinals,San Diego Padres,St. Louis Cardinals,True
Houston Astros,Athletics,Athletics,False
Los Angeles Angels,Seattle Mariners,Seattle Mariners,False
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers,True
Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh Pirates,True
Baltimore Orioles,Colorado Rockies,Colorado Rockies,False
New York Yankees,Philadelphia Phillies,Philadelphia Phillies,False
Boston Red Sox,Los Angeles Dodgers,Los Angeles Dodgers,False
Cincinnati Reds,Tampa Bay Rays,Cincinnati Reds,True
Detroit Tigers,Toronto Blue Jays,Detroit Tigers,True
St. Louis Cardinals,San Diego Padres,San Diego Padres,False
Chicago White Sox,Chicago Cubs,Chicago Cubs,False
Texas Rangers,Atlanta Braves,Atlanta Braves,False
Kansas City Royals,Cleveland Guardians,Kansas City Royals,True
Houston Astros,Athletics,Athletics,False
Minnesota Twins,Washington Nationals,Washington Nationals,False
Los Angeles Angels,Seattle Mariners,Los Angeles Angels,True
San Francisco Giants,New York Mets,New York Mets,False
New York Yankees,Philadelphia Phillies,New York Yankees,True
Detroit Tigers,Toronto Blue Jays,Detroit Tigers,True
Pittsburgh Pirates,Arizona Diamondbacks,Arizona Diamondbacks,False
Cincinnati Reds,Tampa Bay Rays,Tampa Bay Rays,False
Baltimore Orioles,Colorado Rockies,Baltimore Orioles,True
Texas Rangers,Atlanta Braves,Texas Rangers,True
Houston Astros,Athletics,Houston Astros,True
Minnesota Twins,Washington Nationals,Washington Nationals,False
Chicago White Sox,Chicago Cubs,Chicago White Sox,True
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers,True
Kansas City Royals,Cleveland Guardians,Kansas City Royals,True
Boston Red Sox,Los Angeles Dodgers,Boston Red Sox,True
St. Louis Cardinals,San Diego Padres,San Diego Padres,False
San Francisco Giants,New York Mets,San Francisco Giants,True
Los Angeles Angels,Seattle Mariners,Los Angeles Angels,True
Baltimore Orioles,Colorado Rockies,Colorado Rockies,False
Boston Red Sox,Los Angeles Dodgers,Los Angeles Dodgers,False
Pittsburgh Pirates,Arizona Diamondbacks,Arizona Diamondbacks,False
New York Yankees,Philadelphia Phillies,New York Yankees,True
Cincinnati Reds,Tampa Bay Rays,Tampa Bay Rays,False
Detroit Tigers,Toronto Blue Jays,Toronto Blue Jays,False
Kansas City Royals,Cleveland Guardians,Cleveland Guardians,False
Houston Astros,Athletics,Athletics,False
Minnesota Twins,Washington Nationals,Minnesota Twins,True
Chicago White Sox,Chicago Cubs,Chicago Cubs,False
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers,True
St. Louis Cardinals,San Diego Padres,St. Louis Cardinals,True
Texas Rangers,Atlanta Braves,Texas Rangers,True
San Francisco Giants,New York Mets,New York Mets,False
Los Angeles Angels,Seattle Mariners,Los Angeles Angels,True
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,False
Cleveland Guardians,Colorado Rockies,Colorado Rockies,False
Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,True
New York Yankees,Tampa Bay Rays,New York Yankees,True
Cincinnati Reds,Los Angeles Dodgers,Los Angeles Dodgers,False
Minnesota Twins,Boston Red Sox,Boston Red Sox,False
Kansas City Royals,Atlanta Braves,Kansas City Royals,True
Chicago White Sox,Philadelphia Phillies,Chicago White Sox,True
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
St. Louis Cardinals,Miami Marlins,Miami Marlins,False
Houston Astros,Washington Nationals,Washington Nationals,False
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,New York Mets,San Diego Padres,True
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants,True
Athletics,Seattle Mariners,Seattle Mariners,False
Baltimore Orioles,Toronto Blue Jays,Baltimore Orioles,True
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,False
Cleveland Guardians,Colorado Rockies,Cleveland Guardians,True
Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,True
New York Yankees,Tampa Bay Rays,Tampa Bay Rays,False
Cincinnati Reds,Los Angeles Dodgers,Los Angeles Dodgers,False
Minnesota Twins,Boston Red Sox,Minnesota Twins,True
Kansas City Royals,Atlanta Braves,Kansas City Royals,True
Chicago White Sox,Philadelphia Phillies,Philadelphia Phillies,False
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
St. Louis Cardinals,Miami Marlins,Miami Marlins,False
Houston Astros,Washington Nationals,Washington Nationals,False
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,New York Mets,New York Mets,False
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants,True
Athletics,Seattle Mariners,Athletics,True
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,False
Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,True
Minnesota Twins,Boston Red Sox,Minnesota Twins,True
Houston Astros,Washington Nationals,Houston Astros,True
Kansas City Royals,Atlanta Braves,Kansas City Royals,True
Chicago White Sox,Philadelphia Phillies,Chicago White Sox,True
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants,True
San Diego Padres,New York Mets,San Diego Padres,True
Cleveland Guardians,Colorado Rockies,Cleveland Guardians,True
New York Yankees,Tampa Bay Rays,New York Yankees,True
Cincinnati Reds,Los Angeles Dodgers,Cincinnati Reds,True
St. Louis Cardinals,Miami Marlins,St. Louis Cardinals,True
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
Athletics,Seattle Mariners,Athletics,True
New York Yankees,Tampa Bay Rays,New York Yankees,True
Cincinnati Reds,Atlanta Braves,Cincinnati Reds,True
Seattle Mariners,Texas Rangers,Seattle Mariners,True
Cincinnati Reds,Atlanta Braves,Cincinnati Reds,True
Chicago Cubs,Baltimore Orioles,Baltimore Orioles,False
Philadelphia Phillies,Detroit Tigers,Philadelphia Phillies,True
Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,False
Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays,True
Boston Red Sox,Houston Astros,Houston Astros,False
New York Mets,San Francisco Giants,New York Mets,True
Cleveland Guardians,Minnesota Twins,Cleveland Guardians,True
Miami Marlins,New York Yankees,Miami Marlins,True
Tampa Bay Rays,Los Angeles Dodgers,Tampa Bay Rays,True
Colorado Rockies,Pittsburgh Pirates,Colorado Rockies,True
Los Angeles Angels,Chicago White Sox,Los Angeles Angels,True
San Diego Padres,St. Louis Cardinals,San Diego Padres,True
Athletics,Arizona Diamondbacks,Arizona Diamondbacks,False
Seattle Mariners,Texas Rangers,Texas Rangers,False
Tampa Bay Rays,Los Angeles Dodgers,Tampa Bay Rays,True
Chicago Cubs,Baltimore Orioles,Chicago Cubs,True
Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays,True
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates,False
Philadelphia Phillies,Detroit Tigers,Detroit Tigers,False
Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,False
Boston Red Sox,Houston Astros,Boston Red Sox,True
New York Mets,San Francisco Giants,New York Mets,True
Seattle Mariners,Texas Rangers,Seattle Mariners,True
Cleveland Guardians,Minnesota Twins,Minnesota Twins,False
Miami Marlins,New York Yankees,New York Yankees,False
Cincinnati Reds,Atlanta Braves,Atlanta Braves,False
Athletics,Arizona Diamondbacks,Arizona Diamondbacks,False
Los Angeles Angels,Chicago White Sox,Chicago White Sox,False
San Diego Padres,St. Louis Cardinals,San Diego Padres,True
Boston Red Sox,Houston Astros,Boston Red Sox,True
Tampa Bay Rays,Los Angeles Dodgers,Los Angeles Dodgers,False
Philadelphia Phillies,Detroit Tigers,Detroit Tigers,False
Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,False
Toronto Blue Jays,Kansas City Royals,Kansas City Royals,False
New York Mets,San Francisco Giants,New York Mets,True
Cleveland Guardians,Minnesota Twins,Minnesota Twins,False
Miami Marlins,New York Yankees,New York Yankees,False
Chicago Cubs,Baltimore Orioles,Chicago Cubs,True
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates,False
Athletics,Arizona Diamondbacks,Arizona Diamondbacks,False
Los Angeles Angels,Chicago White Sox,Los Angeles Angels,True
San Diego Padres,St. Louis Cardinals,St. Louis Cardinals,False
Seattle Mariners,Texas Rangers,Seattle Mariners,True
Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,True
Detroit Tigers,Minnesota Twins,Detroit Tigers,True
Miami Marlins,Houston Astros,Miami Marlins,True
Philadelphia Phillies,Baltimore Orioles,Philadelphia Phillies,True
Boston Red Sox,Kansas City Royals,Boston Red Sox,True
New York Mets,Cleveland Guardians,New York Mets,True
Atlanta Braves,Milwaukee Brewers,Atlanta Braves,True
Chicago Cubs,Cincinnati Reds,Chicago Cubs,True
Texas Rangers,New York Yankees,Texas Rangers,True
Colorado Rockies,Toronto Blue Jays,Toronto Blue Jays,False
Los Angeles Angels,Tampa Bay Rays,Los Angeles Angels,True
Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,True
Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,True
Pittsburgh Pirates,San Francisco Giants,San Francisco Giants,False
Detroit Tigers,Minnesota Twins,Minnesota Twins,False
Miami Marlins,Houston Astros,Houston Astros,False
Washington Nationals,Athletics,Athletics,False
Philadelphia Phillies,Baltimore Orioles,Philadelphia Phillies,True
Boston Red Sox,Kansas City Royals,Boston Red Sox,True
New York Mets,Cleveland Guardians,New York Mets,True
Atlanta Braves,Milwaukee Brewers,Atlanta Braves,True
Chicago Cubs,Cincinnati Reds,Chicago Cubs,True
Texas Rangers,New York Yankees,New York Yankees,False
Colorado Rockies,Toronto Blue Jays,Toronto Blue Jays,False
Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays,False
Arizona Diamondbacks,San Diego Padres,San Diego Padres,False
Seattle Mariners,Chicago White Sox,Chicago White Sox,False
Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,True
Pittsburgh Pirates,San Francisco Giants,San Francisco Giants,False
Philadelphia Phillies,Baltimore Orioles,Baltimore Orioles,False
New York Mets,Cleveland Guardians,New York Mets,True
Detroit Tigers,Minnesota Twins,Minnesota Twins,False
Chicago Cubs,Cincinnati Reds,Cincinnati Reds,False
Texas Rangers,New York Yankees,Texas Rangers,True
Colorado Rockies,Toronto Blue Jays,Toronto Blue Jays,False
Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays,False
Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,True
Miami Marlins,Houston Astros,Houston Astros,False
Washington Nationals,Athletics,Athletics,False
Boston Red Sox,Kansas City Royals,Boston Red Sox,True
Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers,False
Arizona Diamondbacks,San Diego Padres,San Diego Padres,False
Seattle Mariners,Chicago White Sox,Seattle Mariners,True
Washington Nationals,Athletics,Washington Nationals,True
Seattle Mariners,Chicago White Sox,Seattle Mariners,True
Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds,False
Baltimore Orioles,Athletics,Athletics,False
New York Yankees,Houston Astros,Houston Astros,False
Detroit Tigers,Los Angeles Angels,Detroit Tigers,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Chicago White Sox,Cleveland Guardians,Cleveland Guardians,False
Texas Rangers,Philadelphia Phillies,Philadelphia Phillies,False
Minnesota Twins,Kansas City Royals,Kansas City Royals,False
Milwaukee Brewers,New York Mets,Milwaukee Brewers,True
St. Louis Cardinals,Chicago Cubs,Chicago Cubs,False
Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,True
San Diego Padres,Boston Red Sox,Boston Red Sox,False
Seattle Mariners,Tampa Bay Rays,Seattle Mariners,True
Los Angeles Dodgers,Toronto Blue Jays,Los Angeles Dodgers,True
San Francisco Giants,Washington Nationals,San Francisco Giants,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
New York Yankees,Houston Astros,New York Yankees,True
San Francisco Giants,Washington Nationals,San Francisco Giants,True
Detroit Tigers,Los Angeles Angels,Detroit Tigers,True
Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds,False
Baltimore Orioles,Athletics,Baltimore Orioles,True
Minnesota Twins,Kansas City Royals,Minnesota Twins,True
Chicago White Sox,Cleveland Guardians,Chicago White Sox,True
Milwaukee Brewers,New York Mets,New York Mets,False
St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,True
Texas Rangers,Philadelphia Phillies,Texas Rangers,True
Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,True
San Diego Padres,Boston Red Sox,San Diego Padres,True
Los Angeles Dodgers,Toronto Blue Jays,Toronto Blue Jays,False
Seattle Mariners,Tampa Bay Rays,Seattle Mariners,True
Minnesota Twins,Kansas City Royals,Kansas City Royals,False
Baltimore Orioles,Athletics,Baltimore Orioles,True
Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds,False
Atlanta Braves,Miami Marlins,Miami Marlins,False
New York Yankees,Houston Astros,New York Yankees,True
Detroit Tigers,Los Angeles Angels,Detroit Tigers,True
Chicago White Sox,Cleveland Guardians,Cleveland Guardians,False
Milwaukee Brewers,New York Mets,New York Mets,False
St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,True
Texas Rangers,Philadelphia Phillies,Philadelphia Phillies,False
San Francisco Giants,Washington Nationals,San Francisco Giants,True
Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,True
San Diego Padres,Boston Red Sox,Boston Red Sox,False
Seattle Mariners,Tampa Bay Rays,Seattle Mariners,True
Los Angeles Dodgers,Toronto Blue Jays,Los Angeles Dodgers,True
Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,False
New York Yankees,Minnesota Twins,Minnesota Twins,False
Kansas City Royals,Washington Nationals,Washington Nationals,False
Chicago White Sox,Detroit Tigers,Detroit Tigers,False
Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates,False
St. Louis Cardinals,Colorado Rockies,Colorado Rockies,False
Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks,False
Houston Astros,Boston Red Sox,Boston Red Sox,False
Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,False
San Francisco Giants,San Diego Padres,San Diego Padres,False
Athletics,Tampa Bay Rays,Athletics,True
Baltimore Orioles,Seattle Mariners,Baltimore Orioles,True
Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,True
Cleveland Guardians,Miami Marlins,Miami Marlins,False
New York Yankees,Minnesota Twins,New York Yankees,True
Toronto Blue Jays,Chicago Cubs,Toronto Blue Jays,True
New York Mets,Atlanta Braves,New York Mets,True
Kansas City Royals,Washington Nationals,Washington Nationals,False
Chicago White Sox,Detroit Tigers,Chicago White Sox,True
Milwaukee Brewers,Pittsburgh Pirates,Milwaukee Brewers,True
St. Louis Cardinals,Colorado Rockies,Colorado Rockies,False
Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks,False
Houston Astros,Boston Red Sox,Houston Astros,True
Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,False
San Francisco Giants,San Diego Padres,San Francisco Giants,True
Athletics,Tampa Bay Rays,Tampa Bay Rays,False
Kansas City Royals,Washington Nationals,Kansas City Royals,True
Chicago White Sox,Detroit Tigers,Chicago White Sox,True
Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates,False
St. Louis Cardinals,Colorado Rockies,St. Louis Cardinals,True
Texas Rangers,Arizona Diamondbacks,Texas Rangers,True
San Francisco Giants,San Diego Padres,San Francisco Giants,True
Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,False
Baltimore Orioles,Seattle Mariners,Baltimore Orioles,True
Cleveland Guardians,Miami Marlins,Cleveland Guardians,True
New York Yankees,Minnesota Twins,New York Yankees,True
Toronto Blue Jays,Chicago Cubs,Toronto Blue Jays,True
Houston Astros,Boston Red Sox,Houston Astros,True
New York Mets,Atlanta Braves,New York Mets,True
Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,False
Athletics,Tampa Bay Rays,Athletics,True
Baltimore Orioles,Seattle Mariners,Baltimore Orioles,True
Toronto Blue Jays,Chicago Cubs,Chicago Cubs,False
Cleveland Guardians,Miami Marlins,Cleveland Guardians,True
Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,False
New York Mets,Atlanta Braves,Atlanta Braves,False
Minnesota Twins,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Cincinnati Reds,Milwaukee Brewers,Milwaukee Brewers,False
Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,False
Toronto Blue Jays,Texas Rangers,Texas Rangers,False
New York Mets,Seattle Mariners,New York Mets,True
Cleveland Guardians,Atlanta Braves,Cleveland Guardians,True
Boston Red Sox,Miami Marlins,Boston Red Sox,True
Houston Astros,Baltimore Orioles,Baltimore Orioles,False
Minnesota Twins,Detroit Tigers,Detroit Tigers,False
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
St. Louis Cardinals,New York Yankees,St. Louis Cardinals,True
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Athletics,Los Angeles Angels,Los Angeles Angels,False
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
San Francisco Giants,Tampa Bay Rays,San Francisco Giants,True
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Toronto Blue Jays,Texas Rangers,Toronto Blue Jays,True
Washington Nationals,Philadelphia Phillies,Washington Nationals,True
New York Mets,Seattle Mariners,New York Mets,True
Boston Red Sox,Miami Marlins,Boston Red Sox,True
Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,True
Houston Astros,Baltimore Orioles,Houston Astros,True
Cleveland Guardians,Atlanta Braves,Atlanta Braves,False
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
Minnesota Twins,Detroit Tigers,Minnesota Twins,True
St. Louis Cardinals,New York Yankees,St. Louis Cardinals,True
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
San Francisco Giants,Tampa Bay Rays,Tampa Bay Rays,False
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
Athletics,Los Angeles Angels,Los Angeles Angels,False
Washington Nationals,Philadelphia Phillies,Washington Nationals,True
Boston Red Sox,Miami Marlins,Boston Red Sox,True
Toronto Blue Jays,Texas Rangers,Toronto Blue Jays,True
Cleveland Guardians,Atlanta Braves,Cleveland Guardians,True
Cincinnati Reds,Milwaukee Brewers,Milwaukee Brewers,False
Houston Astros,Baltimore Orioles,Houston Astros,True
Minnesota Twins,Detroit Tigers,Minnesota Twins,True
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
St. Louis Cardinals,New York Yankees,New York Yankees,False
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Athletics,Los Angeles Angels,Los Angeles Angels,False
San Francisco Giants,Tampa Bay Rays,San Francisco Giants,True
